[16-Jan-2020 15:28:22 Europe/Berlin] PHP Notice:  Undefined variable: ime in D:\xampp\htdocs\Skinutdosadsajt\rezervacije\userClass.php on line 29
[16-Jan-2020 16:37:09 Europe/Berlin] PHP Notice:  Undefined variable: ime in D:\xampp\htdocs\Skinutdosadsajt\rezervacije\userClass.php on line 29
[16-Jan-2020 16:38:19 Europe/Berlin] PHP Notice:  Undefined variable: ime in D:\xampp\htdocs\Skinutdosadsajt\rezervacije\userClass.php on line 29
[16-Jan-2020 16:43:13 Europe/Berlin] PHP Notice:  Undefined variable: ime in D:\xampp\htdocs\Skinutdosadsajt\rezervacije\userClass.php on line 29
[16-Jan-2020 16:46:26 Europe/Berlin] PHP Notice:  Undefined variable: ime in D:\xampp\htdocs\Skinutdosadsajt\rezervacije\userClass.php on line 29
[16-Jan-2020 16:47:11 Europe/Berlin] PHP Notice:  Undefined variable: ime in D:\xampp\htdocs\Skinutdosadsajt\rezervacije\userClass.php on line 29
[16-Jan-2020 16:54:54 Europe/Berlin] PHP Parse error:  syntax error, unexpected '$q' (T_VARIABLE) in D:\xampp\htdocs\Skinutdosadsajt\rezervacije\userClass.php on line 71
[16-Jan-2020 16:55:06 Europe/Berlin] PHP Parse error:  syntax error, unexpected '$q' (T_VARIABLE) in D:\xampp\htdocs\Skinutdosadsajt\rezervacije\userClass.php on line 71
[16-Jan-2020 16:55:18 Europe/Berlin] PHP Notice:  Undefined variable: ime in D:\xampp\htdocs\Skinutdosadsajt\rezervacije\userClass.php on line 29
[16-Jan-2020 17:05:32 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\rezervacije\index.php on line 56
[16-Jan-2020 17:06:09 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\rezervacije\index.php on line 56
[16-Jan-2020 17:06:44 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\rezervacije\index.php on line 56
[16-Jan-2020 17:07:48 Europe/Berlin] PHP Notice:  Undefined variable: ime in C:\xampp\htdocs\rezervacije\userClass.php on line 29
[16-Jan-2020 17:08:23 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\rezervacije\index.php on line 56
[16-Jan-2020 17:10:35 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\rezervacije\index.php on line 56
[16-Jan-2020 17:10:43 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\rezervacije\index.php on line 56
[16-Jan-2020 17:11:35 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\rezervacije\index.php on line 56
[16-Jan-2020 17:11:54 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\rezervacije\index.php on line 56
[16-Jan-2020 17:12:36 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\rezervacije\index.php on line 56
[16-Jan-2020 17:12:38 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\rezervacije\index.php on line 56
[16-Jan-2020 17:12:41 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\rezervacije\index.php on line 56
[16-Jan-2020 17:14:06 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\rezervacije\index.php on line 56
[16-Jan-2020 17:14:38 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\rezervacije\index.php on line 56
[16-Jan-2020 17:14:53 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\rezervacije\index.php on line 56
[05-Jul-2021 12:07:49 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\FlightReservations-master\index.php on line 56
[05-Jul-2021 12:07:54 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\FlightReservations-master\index.php on line 56
[05-Jul-2021 12:09:07 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\FlightReservations-master\index.php on line 56
[05-Jul-2021 12:11:23 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\FlightReservations-master\index.php on line 56
[05-Jul-2021 13:07:48 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\FlightReservations-master\index.php on line 56
[05-Jul-2021 13:10:39 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\FlightReservations-master\index.php on line 56
[05-Jul-2021 13:10:58 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\FlightReservations-master\index.php on line 56
[05-Jul-2021 13:11:45 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\FlightReservations-master\index.php on line 56
[05-Jul-2021 13:11:50 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\FlightReservations-master\index.php on line 56
[05-Jul-2021 13:12:04 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\FlightReservations-master\index.php on line 56
[05-Jul-2021 13:24:49 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\FlightReservations-master\index.php on line 56
[05-Jul-2021 13:39:44 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\FlightReservations-master\index.php on line 56
[05-Jul-2021 22:08:45 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:08:45 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\index.php on line 56
[05-Jul-2021 22:08:54 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:08:54 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\index.php on line 56
[05-Jul-2021 22:08:55 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:09:00 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:09:07 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:09:10 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:09:16 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:09:19 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:09:25 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:09:26 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:09:30 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:11:53 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:11:53 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\index.php on line 56
[05-Jul-2021 22:12:19 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:13:12 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:13:12 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\index.php on line 56
[05-Jul-2021 22:13:21 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
[05-Jul-2021 22:13:21 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\index.php on line 56
[05-Jul-2021 22:14:34 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in C:\xamp\htdocs\FlightReservations-master\FlightReservations-master\init.php on line 11
